conacct,p_L,p_H1,p_H2,p_H3,size,SHH_G,CONTROLS_house_1,CONTROLS_house_2,CONTROLS_low_skill,CONTROLS_hhemp2,CONTROLS_hhemp3,CONTROLS_age2,CONTROLS_age3,CONTROLS_INC,CONTROLS_barangay_id
156029,0,15.3257546954685,31.5552897276702,41.1401774794967,9,1,0,1,0,0,0,0,1,10000,7502018
158287,0,15.3257546954685,31.5552897276702,41.1401774794967,6,1,0,1,0,0,1,0,1,10000,7502020
160538,0,15.3257546954685,31.5552897276702,41.1401774794967,4,1,1,0,1,1,0,1,0,10000,7503003
161901,0,15.3257546954685,31.5552897276702,41.1401774794967,7,1,0,1,0,0,0,0,0,10000,7503005
166630,0,15.3257546954685,31.5552897276702,41.1401774794967,5,1,0,0,0,0,0,1,0,10000,7503010
167704,0,15.3257546954685,31.5552897276702,41.1401774794967,7,1,0,1,0,1,0,1,0,10000,7503012
171687,0,15.3257546954685,31.5552897276702,41.1401774794967,6,1,1,0,0,1,0,1,0,10000,7504002
172091,0,15.3257546954685,31.5552897276702,41.1401774794967,6,1,0,0,0,1,0,0,0,10000,7504003
173997,0,15.3257546954685,31.5552897276702,41.1401774794967,5,1,0,1,1,0,1,0,0,10000,7504005
174209,0,15.3257546954685,31.5552897276702,41.1401774794967,4,1,0,1,1,0,0,0,1,10000,7504005
174014,0,15.3257546954685,31.5552897276702,41.1401774794967,2,1,0,1,1,0,0,0,0,10000,7504005
173490,0,15.3257546954685,31.5552897276702,41.1401774794967,3,1,1,0,0,0,0,0,0,10000,7504005
173501,0,15.3257546954685,31.5552897276702,41.1401774794967,2,1,0,1,1,1,0,0,1,10000,7504005
173402,0,15.3257546954685,31.5552897276702,41.1401774794967,5,1,0,1,1,0,0,0,1,10000,7504005
173952,0,15.3257546954685,31.5552897276702,41.1401774794967,7,1,0,1,0,1,0,1,0,10000,7504005
173571,0,15.3257546954685,31.5552897276702,41.1401774794967,6,1,0,1,1,0,0,1,0,10000,7504005
174305,0,15.3257546954685,31.5552897276702,41.1401774794967,2,1,0,1,0,0,0,0,1,10000,7504005
174644,0,15.3257546954685,31.5552897276702,41.1401774794967,5,1,1,0,1,0,0,0,0,10000,7504007
178875,0,15.3257546954685,31.5552897276702,41.1401774794967,4,1,0,1,0,1,0,1,0,10000,7504010
178209,0,15.3257546954685,31.5552897276702,41.1401774794967,6,1,1,0,0,0,0,1,0,10000,7504010
183543,0,15.3257546954685,31.5552897276702,41.1401774794967,5,1,0,1,0,0,0,1,0,10000,7504013
183679,0,15.3257546954685,31.5552897276702,41.1401774794967,2,1,0,1,1,1,0,0,0,10000,7504013
183566,0,15.3257546954685,31.5552897276702,41.1401774794967,2,1,1,0,1,1,0,0,0,10000,7504013
